source;translation;type;module;status;customer
"Logging saved";"Logboekregistratie opgeslagen";S;merchant;T;N
"Parameter names saved";"Parameter naam opgeslagen";S;merchant;T;N
"Tracking saved";"Tracking opgeslagen";S;merchant;T;N
"URLs & Directories saved";"URL's & Mappen opgeslagen";S;merchant;T;N
"Affiliates successfully paid";"Partner succesvol betaald";S;merchant;T;N
"Email";"Emailadres";B;;T;N
"VAT";"BTW";S;merchant;T;N
"To pay";"Te betalen";S;merchant;T;N
"Declined";"Afgewezen";B;;T;N
"Minimum payout";"Minimale uitbetaling";S;merchant;T;N
"Payout data";"Uitbetaalgegevens";B;merchant;T;N
"N/A";"N/A";S;merchant;T;N
"New payout option";"Nieuwe betaallimiet optie";S;merchant;T;N
"New payout option %s";"Nieuwe betaallimiet optie %s";S;merchant;T;N
"Payout option";"Uitbetaaloptie";S;merchant;T;N
"Payout history";"Uitbetaalgeschiedenis";S;merchant;T;N
"Date paid";"Datum betaald";S;merchant;T;N
"Payees";"Ontvanger";S;merchant;T;N
"Total amount";"Totaalbedrag";S;merchant;T;N
"Affiliate note";"Partner notitie";B;merchant;T;N
"payee";"Ontvanger";S;merchant;T;N
"Date";"Datum";B;;T;N
"Data 1";"Data 1";B;merchant;T;N
"Data 2";"Data 2";B;merchant;T;N
"Clicks raw";"Klikken raw";S;;T;N
"Clicks unique";"Unieke klikken";S;;T;N
"Raw clicks older than %s are deleted";"Raw klikken ouder dan %s worden verwijderd";S;merchant;T;N
"Failed to delete raw clicks";"Fout bij het verwijderen raw klikken";S;merchant;T;N
"Impressions raw";"Impressies raw";S;;T;N
"Impressions unique";"Impressies unieke";S;;T;N
"Sales count";"Verkoopteller";S;;T;N
"Table name";"Tabelnaam";S;merchant;T;N
"Records";"Records";S;merchant;T;N
"Total size";"Totale grootte";S;merchant;T;N
"Data size";"Data formaat";S;merchant;T;N
"Index size";"Grootte van de index";S;merchant;T;N
"Transaction";"Transactie";B;;T;N
"Payout status";"Uitbetaalstatus";B;merchant;T;N
"Data 3";"Data 3";B;merchant;T;N
"Data 4";"Data 4";B;merchant;T;N
"Data 5";"Data 5";B;merchant;T;N
"Tracked by";"Tracked door";B;merchant;T;N
"Time";"Tijd";B;;T;N
"Click data 1";"Klik data 1";B;merchant;T;N
"Click data 2";"Klik data 2";B;merchant;T;N
"unpaid";"onbetaald";B;;T;N
"Username must be valid email address";"Gebruikersnaam moet geldig emailadres zijn";S;;T;N
"You have to agree with terms & conditions";"U moet akkoord gaan met de algemene voorwaarden";B;;T;N
"is mandatory";"is verplicht";B;;T;N
"Payout settings saved";"Uitbetaalinstellingen opgeslagen";S;merchant;T;N
"Affiliate details";"Partner gegevens";B;merchant;T;N
"Date joined";"Datum aanmelding";S;;T;N
"Date approved";"Datum goedgekeurd";S;merchant;T;N
"Parent";"Ouder";S;merchant;T;N
"Firstname";"Voornaam";B;;T;N
"Lastname";"Achternaam";B;;T;N
"Parent ID";"Ouder ID";S;merchant;T;N
"Parent username";"Ouder gebruikersnaam";S;merchant;T;N
"Parent first name";"Ouder voornaam";S;merchant;T;N
"Parent last name";"Ouder achternaam";S;merchant;T;N
"AffiliatesImportExportDescription";"Partner import / export beschrijving";B;merchant;T;N
"Status successfully set to selected url(s)";"Status succesvol ingesteld op geselecteerde URL(s)";S;merchant;T;N
"Failed to set status selected url(s)";"Fout om de status van geselecteerde URL (s) in te stellen";S;merchant;T;N
"Commission group";"Provisiegroep";B;;T;N
"Commision group";"Provisiegroep";S;merchant;T;N
"Selected commission group(s) are changed";"Geselecteerde provisiegroep(en) zijn gewijzigd";S;merchant;T;N
"Changes saved";"Wijzigingen opgeslagen";S;;T;N
"Application Name";"Post Affiliate  Pro";S;;T;N
"New password URL";"Nieuw wachtwoord URL";S;;T;N
"Request valid until";"Verzoek geldig tot";S;;T;N
"Request new password";"Een nieuw wachtwoord aanvragen";B;;T;N
"Wrong username/password";"Verkeerde gebruikersnaam / wachtwoord";S;;T;N
"Select account";"Account selecteren";B;;T;N
"Authentication failed";"Verificatie mislukt";S;;T;N
"User authenticated. Logging in.";"Gebruiker geverifieerd. Inloggen";S;;T;N
"You entered invalid security code";"U heeft een ongeldig beveiligingscode ingegeven";S;;T;N
"You entered invalid username";"U heeft een ongeldig gebruikersnaam ingegeven";S;;T;N
"Within a few minutes you will receive instruction on how to reset you password.";"U ontvangt binnen enkele minuten een mail met instructies hoe u uw wachtwoord opnieuw insteld.";S;;T;N
"Your password was changed. Go back to login dialog and login.";"Uw wachtwoord is gewijzigd. Ga terug naar de aanmeldschern en login.";S;;T;N
"Logout error";"Afmelden fout";S;;T;N
"Logout successful";"Afmelden geslaagd";S;;T;N
"Invalid password request. You have to request again new password before trying to set password.";"Ongeldig wachtwoord verzoek. U moet opnieuw wachtwoord aanvragen voordat u het opnieuw probeerd.";S;;T;N
"User account not approved yet";"Bebruikersaccount nog niet goedgekeurd";S;;T;N
"File to export is not defined";"Bestand voor export is niet gedefinieerd";S;;T;N
"Unsupported";"Niet ondersteund";S;;T;N
"Import file is not defined";"Importbestand is niet gedefinieerd";S;;T;N
"Export data";"Exporteren van gegevens";B;;T;N
"Data was successfully exported to file %s";"De gegevens zijn met succes geëxporteerd naar bestand %s";S;;T;N
"File name";"Bestandsnaam";B;;T;N
"Modules";"Module";S;;T;N
"Size";"Grootte";S;;T;N
"Could not create account. (%s)";"Kan account niet aanmaken. (%s)";S;;T;N
"Directory %s is not writable by web server user. Please remove it or set write permissions.";"Map %s is niet schrijfbaar voor de webserver gebruiker. Verwijder deze of geef schrijf permissies.";S;;T;N
"Failed to delete %s filter(s)";"Fout bij verwijderen %s filter(s)";S;;T;N
"%s filter(s) successfully deleted";"%s filter(s) zijn verwijderd";S;;T;N
"Failed to load default mail account. Please check your mail account settings.";"Fout bij het laden standaard mailaccount. Controleer uw email account instellingen.";S;;T;N
"View name must be unique";"Te tonen naam moet uniek zijn";S;;T;N
"Maximum length of %s in %s is %s";"Maximale lengte van %s in %s is %s";S;;T;N
"Relation constraint";"Relatie beperking";S;;T;N
"must be unique";"moet uniek zijn";S;;T;N
"Theme file (theme.php) does not exist for theme %s";"Thema-bestand (theme.php) bestaat niet voor thema %s";S;;T;N
"Error changing theme";"Fout bij het wijzigen van thema";S;;T;N
"Theme changed";"Thema gewijzigd";S;;T;N
"Failed to delete %s wallpaper(s)";"Fout bij verwijderen %s achtergrond";S;;T;N
"%s wallpaper(s) successfully deleted";"%s achtergrond is verwijderd";S;;T;N
"Failed to save wallpaper with error %s";"Fout bij opslaan achtergrond met foutcode %s";S;;T;N
"Wallpaper saved.";"Achtergrond opgeslagen.";S;;T;N
"Side bar saved";"Side bar opgeslagen";S;;T;N
"Windows saved";"Venster opgeslagen";S;;T;N
"Quick Launch saved";"Snelstart opgeslagen";S;;T;N
"File does not exist";"Bestand bestaat niet";S;;T;N
"File was succesfuly uploaded";"Bestand is geüpload";S;;T;N
"Unsupported gadget";"Niet ondersteunde gadget";S;;T;N
"Gadget";"Gadget";S;;T;N
"Gadget added";"Gadget toegevoegd";S;;T;N
"Failed to close gadget";"Fout bij sluiten gadget";S;;T;N
"Gadget successfully closed";"Gadget succesvol gesloten";S;;T;N
"Docking";"Docking";S;;T;N
"Gadgets saved";"Gadgets opgeslagen";S;;T;N
"Create Account";"Account aanmaken";B;;T;N
"Account is already created.";"Account bestaat al.";S;;T;N
"Create Database";"DATABASE aanmaken";B;;T;N
"Could not create database. %s";"Kan geen database aanmaken %s";S;;T;N
