source;translation;type;module;status;customer
"Status successfully set to selected url(s)";"Status ble satt til valgte url(s)";S;merchant;T;N
"Failed to set status selected url(s)";"Feilet å sette status valgte url(s)";S;merchant;T;N
"Commission group";"Provisjonsgruppe";B;;T;N
"Commision group";"Provisjonsgruppe";S;merchant;T;N
"Selected commission group(s) are changed";"De valgte provisjonsgruppene er endret";S;merchant;T;N
"Changes saved";"Endringer lagret";S;;T;N
"Application Name";"Post Affiliate Pro";S;;N;N
"New password URL";"Nytt passord URL";S;;T;N
"Request valid until";"Forespørsel gyldig til";S;;T;N
"Request new password";"Forespør nytt Passord";B;;T;N
"Wrong username/password";"Feil brukernavn/passord";S;;T;N
"Select account";"Velg konto";B;;T;N
"Authentication failed";"Autentisiering feilet";S;;T;N
"User authenticated. Logging in.";"Bruker autentisiert. Logger inn.";S;;T;N
"You entered invalid security code";"Du tastet inn en ugyldig sikkerhetskode";S;;T;N
"You entered invalid username";"Du tastet inn et ugyldig brukernavn";S;;T;N
"Within a few minutes you will receive instruction on how to reset you password.";"Innen noen minutter vil du motta en epost med forklaring på hvordan du resetter passordet.";S;;T;N
"Your password was changed. Go back to login dialog and login.";"Ditt passord ble endret. Gå tilbake til innloggingssiden og logg inn.";S;;T;N
"Logout error";"Utloggingsfeil";S;;T;N
"Logout successful";"Utlogging vellykket";S;;T;N
"Invalid password request. You have to request again new password before trying to set password.";"Ugyldig passord forespørsel. Du må prøve å forespørre passord på nytt.";S;;T;N
"User account not approved yet";"Brukerkonto er ikke godkjent ennå";S;;T;N
"File to export is not defined";"Fil til eksport er ikke definert";S;;T;N
"Unsupported";"Ikke støttet";S;;T;N
"Import file is not defined";"Import fil er ikke definert";S;;T;N
"Export data";"Eksporter data";B;;T;N
"Data was successfully exported to file %s";"Data ble vellykket eksportert til fil %s";S;;T;N
"File name";"Filnavn";B;;T;N
"Modules";"Moduler";S;;T;N
"Size";"Størrelse";S;;T;N
"Could not create account. (%s)";"Kunne ikke opprette konto. (%s)";S;;T;N
"Directory %s is not writable by web server user. Please remove it or set write permissions.";"Katalog %s er ikke skrivbar av web server bruker. Fjern den eller sett skriverettigheter.";S;;T;N
"Failed to delete %s filter(s)";"Feilet å slette %s filter/ filtre";S;;T;N
"%s filter(s) successfully deleted";"%s filter/ filtre ble slettet";S;;T;N
"Failed to load default mail account. Please check your mail account settings.";"Lasting av standard epostkonto feilet. Sjekk epost-innstillingene dine.";S;;T;N
"View name must be unique";"Visningsnavn må være unikt";S;;T;N
"Maximum length of %s in %s is %s";"Max lengde for %s i %s er %s";S;;T;N
"Relation constraint";"Relasjonsavhengig";S;;T;N
"must be unique";"må være unik";S;;T;N
"Theme file (theme.php) does not exist for theme %s";"Fil for theme (theme.php) finnes ikke for theme %s";S;;T;N
"Error changing theme";"Feil under endring av theme";S;;T;N
"Theme changed";"Theme endret";S;;T;N
"Failed to delete %s wallpaper(s)";"Feilet i å slette %s wallpaper(s)";S;;T;N
"%s wallpaper(s) successfully deleted";"%s wallpaper(s) ble slettet";S;;T;N
"Failed to save wallpaper with error %s";"Feilet i å lagre wallpaper med feil %s";S;;T;N
"Wallpaper saved.";"Wallpaper lagret.";S;;T;N
"Side bar saved";"Sidebar lagret";S;;T;N
"Windows saved";"Windows lagret";S;;T;N
"Quick Launch saved";"Quick Launch lagret";S;;T;N
"File does not exist";"Fil finnes ikke";S;;T;N
"File was succesfuly uploaded";"Fil ble vellykket lastet opp";S;;T;N
"Unsupported gadget";"Ikke støttet gadget";S;;T;N
"Gadget";"Gadget";S;;N;N
"Gadget added";"Gadget lagt til";S;;T;N
"Failed to close gadget";"Feilet i å lukke gadget";S;;T;N
"Gadget successfully closed";"Gadget vellykket lukket";S;;T;N
"Docking";"Docking";S;;N;N
"Gadgets saved";"Gadgets lagret";S;;T;N
"Create Account";"Opprett konto";B;;T;N
"Account is already created.";"Konto er allerede opprettet.";S;;T;N
"Create Database";"Opprett database";B;;T;N
"Could not create database. %s";"Kunne ikke opprette database. %s";S;;T;N
"doesnt exist's";"finnes ikke";S;;T;N
"Internal error";"Intern feil";B;;T;N
"Error during database creation.";"Feil under opprettelse av database.";S;;T;N
"OK";"OK";B;;N;N
"Failed to read headers of CSF file %s";"Feilet i å lese headers av CSF fil %s";S;;T;N
"Could not change permissions %s";"Kunne ikke endre rettigheter %s";S;;T;N
"Could not open file";"Kunne ikke åpne fil";S;;T;N
"Could not read file";"Kunne ikke lese fil";S;;T;N
"Rewind unsupported in this file stream";"Spol tilbake det som ikke er støttet i denne fil streamen";S;;T;N
"File %s does not exist.";"Fil %s finnes ikke.";S;;T;N
"Failed to read file %s";"Feilet i å lese fil %s";S;;T;N
"Could not create directory %s";"Kunne ikke opprette katalog %s";S;;T;N
"Could not open language file %s";"Kunne ikke åpne språkfil %s";S;;T;N
