Comaxx_Docdata::Determines a custom status to be used for a refunded order. Default use is 'payment review'.,Bepaalt een aangepaste status om te gebruiken voor een refunded order. Standaard is dit 'payment review'.
Comaxx_Docdata::Charged back status,Charged back status
Comaxx_Docdata::Used when a payment is charged back by the financial institution. Default use is 'payment review'.,Bepaalt een aangepaste status om te gebruiken voor een order waar een betaling is terug gevorderd. Standaard is dit 'payment review'.
Comaxx_Docdata::Canceled status,Canceled status
Comaxx_Docdata::Determines a custom status to be used for a canceled order. Default use is 'canceled'.,Bepaalt een aangepaste status om te gebruiken voor een canceled order. Standaard is dit 'canceled'.
Comaxx_Docdata::On hold status,On hold status
Comaxx_Docdata::Used as an error status. When manual action is required this status is used. For example when Docdata updates are inconsistent with what Magento expects.,Wordt gebruikt als een error status. Als handmatige actie is vereist wordt deze status gebruikt. Bijvoorbeeld als de Docdata updates inconsistent zijn met wat Magento verwacht.
Comaxx_Docdata::AfterPay,AfterPay
Comaxx_Docdata::Title,Titel
Comaxx_Docdata::Used on the front-end as the name of the method.,Wordt gebruikt in de front-end als de naam van de methode.
Comaxx_Docdata::Display Checkout fields,Toon Checkout velden
Comaxx_Docdata::When set to No the fields phonenumber/street/housenr/housenr addition won't be shown by default.,Indien ingesteld op Nee dan worden de velden telefoonnummer/straat/huisnr/housenr toevoeging standaard niet getoond.
Comaxx_Docdata::Payment method name,Betaal methode naam
Comaxx_Docdata::As specified in the docdata backend.,Zoals aangegeven in de docdata backend.
Comaxx_Docdata::Added costs,Toegevoegde kosten
Comaxx_Docdata::Amount to be added to each order for using Afterpay,Bedrag dat wordt toegevoegd voor elke order met Afterpay
Comaxx_Docdata::Added costs includes tax,Toegevoegde kosten inclusief BTW
Comaxx_Docdata::Display added cost as,Geef toegevoegde kosten weer als
Comaxx_Docdata::Tax Class for added costs,BTW tarief voor toegevoegde kosten
Comaxx_Docdata::American Express,American Express
Comaxx_Docdata::Bank Transfer,Bank Transfer
Comaxx_Docdata::Direct Debit,Direct Debit
Comaxx_Docdata::DIRECT eBanking,DIRECT eBanking
Comaxx_Docdata::ELV,ELV
Comaxx_Docdata::Giropay,Giropay
Comaxx_Docdata::iDEAL,iDEAL
Comaxx_Docdata::KBC PAY Button,KBC PAY Button
Comaxx_Docdata::Maestro,Maestro
Comaxx_Docdata::Mastercard,Mastercard
Comaxx_Docdata::MrCash,MrCash
Comaxx_Docdata::PayPal,PayPal
Comaxx_Docdata::Sofortüberweisung,Sofortüberweisung
Comaxx_Docdata::Visa,Visa
Comaxx_Docdata::Klarna Invoice,Klarna Invoice
Comaxx_Docdata::Klarna Account,Klarna Account
Comaxx_Docdata::Amount to be added to each order for using Klarna Invoice,Bedrag dat wordt toegevoegd voor iedere order die gebruik maakt van Klarna Invoice
Comaxx_Docdata::Amount to be added to each order for using Klarna Account,Bedrag dat wordt toegevoegd voor iedere order die gebruik maakt van Klarna Account
